id,name,code,state_id
1,서울 강남구,11680,1
2,서울 강동구,11740,1
3,서울 강북구,11305,1
4,서울 강서구,11500,1
5,서울 관악구,11620,1
6,서울 광진구,11215,1
7,서울 구로구,11530,1
8,서울 금천구,11545,1
9,서울 노원구,11350,1
10,서울 도봉구,11320,1
11,서울 동대문구,11230,1
12,서울 동작구,11590,1
13,서울 마포구,11440,1
14,서울 서대문구,11410,1
15,서울 서초구,11650,1
16,서울 성동구,11200,1
17,서울 성북구,11290,1
18,서울 송파구,11710,1
19,서울 양천구,11470,1
20,서울 영등포구,11560,1
21,서울 용산구,11170,1
22,서울 은평구,11380,1
23,서울 종로구,11110,1
24,서울 중구,11140,1
25,서울 중랑구,11260,1
26,부산 강서구,26440,2
27,부산 금정구,26410,2
28,부산 기장군,26710,2
29,부산 남구,26290,2
30,부산 동구,26170,2
31,부산 동래구,26260,2
32,부산 부산진구,26230,2
33,부산 북구,26320,2
34,부산 사상구,26530,2
35,부산 사하구,26380,2
36,부산 서구,26140,2
37,부산 수영구,26500,2
38,부산 연제구,26470,2
39,부산 영도구,26200,2
40,부산 중구,26110,2
41,부산 해운대구,26350,2
42,대구 남구,27200,3
43,대구 달서구,27290,3
44,대구 달성군,27710,3
45,대구 동구,27140,3
46,대구 북구,27230,3
47,대구 서구,27170,3
48,대구 수성구,27260,3
49,대구 중구,27110,3
50,인천 강화군,28710,4
51,인천 계양구,28245,4
52,인천 남동구,28200,4
53,인천 동구,28140,4
54,인천 미추홀구,28177,4
55,인천 부평구,28237,4
56,인천 서구,28260,4
57,인천 연수구,28185,4
58,인천 옹진군,28720,4
59,인천 중구,28110,4
60,광주 광산구,29200,5
61,광주 남구,29155,5
62,광주 동구,29110,5
63,광주 북구,29170,5
64,광주 서구,29140,5
65,대전 대덕구,30230,6
66,대전 동구,30110,6
67,대전 서구,30170,6
68,대전 유성구,30200,6
69,대전 중구,30140,6
70,울산 남구,31140,7
71,울산 동구,31170,7
72,울산 북구,31200,7
73,울산 울주군,31710,7
74,울산 중구,31110,7
75,세종특별자치시,36110,8
76,가평군,41820,8
77,고양시 덕양구,41281,8
78,고양시 일산동구,41285,8
79,고양시 일산서구,41287,8
80,과천시,41290,8
81,광명시,41210,8
82,광주시,41610,8
83,구리시,41310,8
84,군포시,41410,8
85,김포시,41570,8
86,남양주시,41360,8
87,동두천시,41250,8
88,부천시,41190,8
89,성남시 분당구,41135,8
90,성남시 수정구,41131,8
91,성남시 중원구,41133,8
92,수원시 권선구,41113,8
93,수원시 영통구,41117,8
94,수원시 장안구,41111,8
95,수원시 팔달구,41115,8
96,시흥시,41390,8
97,안산시 단원구,41273,8
98,안산시 상록구,41271,8
99,안성시,41550,8
100,안양시 동안구,41173,8
101,안양시 만안구,41171,8
102,양주시,41630,8
103,양평군,41830,8
104,여주시,41670,8
105,연천군,41800,8
106,오산시,41370,8
107,용인시 기흥구,41463,8
108,용인시 수지구,41465,8
109,용인시 처인구,41461,8
110,의왕시,41430,8
111,의정부시,41150,8
112,이천시,41500,8
113,파주시,41480,8
114,평택시,41220,8
115,포천시,41650,8
116,하남시,41450,8
117,화성시,41590,8
118,강릉시,42150,9
119,고성군,42820,9
120,동해시,42170,9
121,삼척시,42230,9
122,속초시,42210,9
123,양구군,42800,9
124,양양군,42830,9
125,영월군,42750,9
126,원주시,42130,9
127,인제군,42810,9
128,정선군,42770,9
129,철원군,42780,9
130,춘천시,42110,9
131,태백시,42190,9
132,평창군,42760,9
133,홍천군,42720,9
134,화천군,42790,9
135,횡성군,42730,9
136,괴산군,43760,10
137,단양군,43800,10
138,보은군,43720,10
139,영동군,43740,10
140,옥천군,43730,10
141,음성군,43770,10
142,제천시,43150,10
143,증평군,43745,10
144,진천군,43750,10
145,청주시 상당구,43111,10
146,청주시 서원구,43112,10
147,청주시 청원구,43114,10
148,청주시 흥덕구,43113,10
149,충주시,43130,10
150,계룡시,44250,11
151,공주시,44150,11
152,금산군,44710,11
153,논산시,44230,11
154,당진시,44270,11
155,보령시,44180,11
156,부여군,44760,11
157,서산시,44210,11
158,서천군,44770,11
159,아산시,44200,11
160,예산군,44810,11
161,천안시 동남구,44131,11
162,천안시 서북구,44133,11
163,청양군,44790,11
164,태안군,44825,11
165,홍성군,44800,11
166,고창군,45790,12
167,군산시,45130,12
168,김제시,45210,12
169,남원시,45190,12
170,무주군,45730,12
171,부안군,45800,12
172,순창군,45770,12
173,완주군,45710,12
174,익산시,45140,12
175,임실군,45750,12
176,장수군,45740,12
177,전주시 덕진구,45113,12
178,전주시 완산구,45111,12
179,정읍시,45180,12
180,진안군,45720,12
181,강진군,46810,13
182,고흥군,46770,13
183,곡성군,46720,13
184,광양시,46230,13
185,구례군,46730,13
186,나주시,46170,13
187,담양군,46710,13
188,목포시,46110,13
189,무안군,46840,13
190,보성군,46780,13
191,순천시,46150,13
192,신안군,46910,13
193,여수시,46130,13
194,영광군,46870,13
195,영암군,46830,13
196,완도군,46890,13
197,장성군,46880,13
198,장흥군,46800,13
199,진도군,46900,13
200,함평군,46860,13
201,해남군,46820,13
202,화순군,46790,13
203,경산시,47290,14
204,경주시,47130,14
205,고령군,47830,14
206,구미시,47190,14
207,군위군,47720,14
208,김천시,47150,14
209,문경시,47280,14
210,봉화군,47920,14
211,상주시,47250,14
212,성주군,47840,14
213,안동시,47170,14
214,영덕군,47770,14
215,영양군,47760,14
216,영주시,47210,14
217,영천시,47230,14
218,예천군,47900,14
219,울릉군,47940,14
220,울진군,47930,14
221,의성군,47730,14
222,청도군,47820,14
223,청송군,47750,14
224,칠곡군,47850,14
225,포항시 남구,47111,14
226,포항시 북구,47113,14
227,거제시,48310,15
228,거창군,48880,15
229,고성군,48820,15
230,김해시,48250,15
231,남해군,48840,15
232,밀양시,48270,15
233,사천시,48240,15
234,산청군,48860,15
235,양산시,48330,15
236,의령군,48720,15
237,진주시,48170,15
238,창녕군,48740,15
239,창원시 마산합포구,48125,15
240,창원시 마산회원구,48127,15
241,창원시 성산구,48123,15
242,창원시 의창구,48121,15
243,창원시 진해구,48129,15
244,통영시,48220,15
245,하동군,48850,15
246,함안군,48730,15
247,함양군,48870,15
248,합천군,48890,15
249,서귀포시,50130,16
250,제주시,50110,16
